Product code	Product name	Product code	Vendor name	Selling units	Packing units	pack /selling units	ไข่ (ฟอง) /pack	ไข่ (ฟอง) /selling units	Packaging cost per selling units	Packaging cost per ฟอง	Size ไข่ A 	Size ไข่ B	% SKU A	ฟองต่อ/selling units A	ฟองต่อ/selling units B	SKU size	Size ตะกร้า	pack ฐาน	ฝาครอบ	ฉลาก barcode SKUs	ฉลาก label/sticker	Closer 1	Closer 2	ฉลาก barcode Bulk
T0002	2000000525 ไข่ไก่เบอร์2 แพ็ค 30 ฟอง	T0002	TF	ถาด	ถาด	1.000	30	30	#REF!	#REF!	2		100%	30	0	2	no	90001	90005	91214				
T0003	2000000526 ไข่ไก่เบอร์3 แพ็ค 30 ฟอง	T0003	TF	ถาด	ถาด	1.000	30	30	#REF!	#REF!	3		100%	30	0	3	no	90001	90005	91214				
T0004	2000001102 ไข่ไก่ เบอร์ M แพ็ค 10 ฟอง	T0004	TF	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	3	4	50%	5	5	3-4 S	no	90009		91214				
T0005	2000001103 ไข่ไก่ เบอร์ L แพ็ค 10 ฟอง	T0005	TF	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	1	2	50%	5	5	1-2 L	no	90009		91214				
O0004	Mother's Egg เบอร์ 0 (แพ็ค 30ฟอง)	O0004	ME	ถาด	ถาดใหญ่	1.000	30	30	#REF!	#REF!	0		100%	30	0	0		90002	90006	91214		90013		
O0104	Mother's Egg เบอร์ 1 (แพ็ค 30ฟอง)	O0104	ME	ถาด	ถาด	1.000	30	30	#REF!	#REF!	1		100%	30	0	1		90001	90005	91214		90013		
O0204	Mother's Egg เบอร์ 2 (แพ็ค 30ฟอง)	O0204	ME	ถาด	ถาด	1.000	30	30	#REF!	#REF!	2		100%	30	0	2		90001	90005	91214		90013		
O0304	Mother's Egg เบอร์ 3 (แพ็ค 30ฟอง)	O0304	ME	ถาด	ถาด	1.000	30	30	#REF!	#REF!	3		100%	30	0	3		90001	90005	91214		90013		
O0404	Mother's Egg เบอร์ 4 (แพ็ค 30ฟอง)	O0404	ME	ถาด	ถาด	1.000	30	30	#REF!	#REF!	4		100%	30	0	4		90001	90005	91214		90013		
O3404	Mother's Egg เบอร์ 3-4 (แพ็ค 30ฟอง)	O3404	ME	ถาด	ถาด	1.000	30	30	#REF!	#REF!	3	4	50%	15	15	3-4 S		90001	90005	91214		90013		
O0002	Mother's Egg เบอร์ 0 (แพ็ค 10ฟอง)	O0002	ME	แพ็ค 10	แพ็ค 10 - ใหญ่	1.000	10	10	#REF!	#REF!	0		100%	10	0	0		90010		91214	91215			
O0102	Mother's Egg เบอร์ 1 (แพ็ค 10ฟอง)	O0102	ME	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	1		100%	10	0	1		90010		91214	91215			
O0202	Mother's Egg เบอร์ 2 (แพ็ค 10ฟอง)	O0202	ME	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	2		100%	10	0	2		90010		91214	91215			
O0302	Mother's Egg เบอร์ 3 (แพ็ค 10ฟอง)	O0302	ME	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	3		100%	10	0	3		90010		91214	91215			
O0001	Mother's Egg เบอร์ 0 (แพ็ค 4ฟอง)	O0001	ME	แพ็ค 4	แพ็ค 4	1.000	4	4	#REF!	#REF!	0		100%	4	0	0		90007		91214		90012		91211
O0101	Mother's Egg เบอร์ 1 (แพ็ค 4ฟอง)	O0101	ME	แพ็ค 4	แพ็ค 4	1.000	4	4	#REF!	#REF!	1		100%	4	0	1		90007		91214		90012		91211
O1202	Mother's Egg เบอร์ 1,2(L) (แพ็ค 10ฟอง)	O1202	ME	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	1	2	50%	5	5	1-2 L		90010		91214	91215			
O3402	Mother's Egg เบอร์ 3,4(M) (แพ็ค 10ฟอง)	O3402	ME	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	3	4	50%	5	5	3-4 S		90010		91214	91215			
O1204	Mother's Egg เบอร์ 1,2(L) (แพ็ค 30ฟอง)	O1204	ME	ถาด	ถาด	1.000	30	30	#REF!	#REF!	1	2	50%	15	15	1-2 L		90001	90005	91214		90013		
O0301	Mother's Egg เบอร์ 3 (แพ็ค 4ฟอง)	O0301	ME	แพ็ค 4	แพ็ค 4	1.000	4	4	#REF!	#REF!	3		100%	4	0	3		90007		91214	91211			
O0504	Mother's Egg เบอร์ 5(S) (แพ็ค 30ฟอง)	O0504	ME	ถาด	ถาด	1.000	30	30	#REF!	#REF!	5		100%	30	0	5		90001	90005	91214		90013		
O0201	Mother's Egg เบอร์ 2 (แพ็ค 4ฟอง)	O0201	ME	แพ็ค 4	แพ็ค 4	1.000	4	4	#REF!	#REF!	2		100%	4	0	2		90007		91214	91211			
O0402	Mother's Egg เบอร์ 4 (แพ็ค 4ฟอง)	O0402	ME	แพ็ค 4	แพ็ค 4	1.000	4	4	#REF!	#REF!	4		100%	4	0	4		90007		91214	91211			
L0004	Lotus's เบอร์ 0 (แพ็ค 30ฟอง)	L0004	LT	ถาด	ถาดใหญ่	1.000	30	30	#REF!	#REF!	0		100%	30	0	0		90002	90006	91214		90013		
L0104	Lotus's เบอร์ 1 (แพ็ค 30ฟอง)	L0104	LT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	1		100%	30	0	1		90001	90005	91214		90013		
L0204	Lotus's เบอร์ 2 (แพ็ค 30ฟอง)	L0204	LT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	2		100%	30	0	2		90001	90005	91214		90013		
L0304	Lotus's เบอร์ 3 (แพ็ค 30ฟอง)	L0304	LT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	3		100%	30	0	3		90001	90005	91214		90013		
L0404	Lotus's เบอร์ 4 (แพ็ค 30ฟอง)	L0404	LT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	4		100%	30	0	4		90001	90005	91214		90013		
L0504	Lotus's เบอร์ 5 (แพ็ค 30ฟอง)	L0504	LT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	5		100%	30	0	5		90001	90005	91214		90013		
L5004	Lotus's เบอร์ 5(S) (แพ็ค 30ฟอง)	L5004	LT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	5		100%	30	0	5		90001	90005	91214		90013		
L3404	Lotus's เบอร์ 3-4(M) (แพ็ค 30ฟอง)	L3404	LT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	3	4	50%	15	15	3-4 S		90001	90005	91214		90013		
L1204	Lotus's เบอร์ 1-2(L) (แพ็ค 30ฟอง)	L1204	LT	ถาด	ถาด	1.000	30	30	#REF!	#REF!	1	2	50%	15	15	1-2 L		90001	90005	91214		90013		
